Departure Port,Arrival Port,Sail Date,Sail Time,Ship Code,Total_Bookings,Loaded_Bookings,NoShow_Count,Booked_Count,CheckedIn_Count,Cancelled_Count,Total_Reserved_Meter,Total_Loaded_Meter,Total_Reserved_Heads,Total_Loaded_Heads,Total_Meter,Total_Head,NoShow_Rate,Capacity_Utilization_Rate,Reservation_Ratio,Overbooked_Flag,Overbooked_Meter,Unused_Capacity_Meter,Voyage_Risk_Category,Meters_To_Remove,Estimated_Bookings_To_Move,Overbooking_Severity
Klaipeda,Travemünde,2024-04-10,10:00,SHIP_04,172,107,46,6,10,3,2392.0,1477.4,201,136,2200,250,0.2674418604651162,0.6715454545454546,1.0872727272727272,True,192.0,722.5999999999999,Overbooked,192.0,14,Medium
Trelleborg,Travemünde,2025-12-20,14:00,SHIP_03,160,92,47,7,7,7,2291.9,1282.9,175,108,2100,230,0.29375,0.610904761904762,1.0913809523809523,True,191.9000000000001,817.0999999999999,Overbooked,191.9000000000001,14,Medium
Rostock,Klaipeda,2025-02-24,22:00,SHIP_03,158,89,47,5,12,5,2291.8,1266.3,178,115,2100,230,0.2974683544303797,0.603,1.0913333333333337,True,191.80000000000015,833.7,Overbooked,191.80000000000015,14,Medium
Rostock,Klaipeda,2024-01-05,06:00,SHIP_03,159,104,36,7,8,4,2291.2,1480.5,188,131,2100,230,0.2264150943396226,0.705,1.091047619047619,True,191.19999999999985,619.5,Overbooked,191.19999999999985,14,Medium
Travemünde,Klaipeda,2025-10-18,18:00,SHIP_02,155,95,42,4,9,5,2190.7,1299.2,180,121,2000,220,0.2709677419354839,0.6496000000000001,1.0953499999999998,True,190.69999999999985,700.8,Overbooked,190.69999999999985,14,Medium
Trelleborg,Swinoujscie,2024-12-04,18:00,SHIP_02,149,99,32,5,6,7,2190.5,1411.3,179,124,2000,220,0.2147651006711409,0.70565,1.09525,True,190.5,588.7,Overbooked,190.5,14,Medium
Trelleborg,Rostock,2025-09-24,10:00,SHIP_02,152,88,41,4,11,8,2190.5,1268.6,170,109,2000,220,0.2697368421052631,0.6343,1.09525,True,190.5,731.4000000000001,Overbooked,190.5,14,Medium
Swinoujscie,Trelleborg,2024-07-20,06:00,SHIP_05,184,102,59,6,13,4,2590.3,1411.5,212,132,2400,280,0.3206521739130434,0.588125,1.0792916666666668,True,190.30000000000015,988.5,Overbooked,190.30000000000015,14,Medium
Travemünde,Trelleborg,2024-05-25,08:00,SHIP_05,190,122,54,4,6,4,2590.1,1629.2,217,145,2400,280,0.2842105263157894,0.6788333333333334,1.079208333333333,True,190.0999999999999,770.8,Overbooked,190.0999999999999,14,Medium
Trelleborg,Rostock,2025-05-05,08:00,SHIP_02,162,91,42,10,17,2,2189.7,1205.3,191,128,2000,220,0.2592592592592592,0.60265,1.09485,True,189.69999999999985,794.7,Overbooked,189.69999999999985,14,Medium
Travemünde,Klaipeda,2024-11-22,18:00,SHIP_05,188,104,56,9,14,5,2589.6,1369.7,223,139,2400,280,0.2978723404255319,0.5707083333333334,1.079,True,189.5999999999999,1030.3,Overbooked,189.5999999999999,14,Medium
Swinoujscie,Trelleborg,2025-08-31,10:00,SHIP_02,159,95,38,11,10,5,2189.4,1245.9,184,122,2000,220,0.2389937106918239,0.62295,1.0947,True,189.4000000000001,754.0999999999999,Overbooked,189.4000000000001,14,Medium
Trelleborg,Travemünde,2025-07-19,10:00,SHIP_03,162,91,47,7,11,6,2289.3,1261.2,182,115,2100,230,0.2901234567901234,0.6005714285714286,1.0901428571428573,True,189.30000000000015,838.8,Overbooked,189.30000000000015,14,Medium
Trelleborg,Swinoujscie,2024-07-14,18:00,SHIP_03,159,94,41,5,13,6,2289.0,1304.1,187,126,2100,230,0.2578616352201258,0.621,1.09,True,189.0,795.9000000000001,Overbooked,189.0,14,Medium
Klaipeda,Travemünde,2025-03-18,06:00,SHIP_03,167,103,47,7,8,2,2288.8,1344.1,191,128,2100,230,0.281437125748503,0.640047619047619,1.089904761904762,True,188.80000000000015,755.9000000000001,Overbooked,188.80000000000015,13,Medium
Swinoujscie,Trelleborg,2025-01-08,06:00,SHIP_05,189,124,45,7,7,6,2588.5,1665.7,218,150,2400,280,0.238095238095238,0.6940416666666667,1.0785416666666667,True,188.5,734.3,Overbooked,188.5,13,Medium
Travemünde,Klaipeda,2024-01-15,10:00,SHIP_02,161,94,47,5,10,5,2188.5,1233.0,189,126,2000,220,0.2919254658385093,0.6165,1.09425,True,188.5,767.0,Overbooked,188.5,13,Medium
Swinoujscie,Trelleborg,2024-02-07,10:00,SHIP_03,157,95,43,6,11,2,2288.4,1351.9,181,122,2100,230,0.2738853503184713,0.6437619047619048,1.089714285714286,True,188.4000000000001,748.0999999999999,Overbooked,188.4000000000001,13,Medium
Travemünde,Trelleborg,2024-04-12,14:00,SHIP_03,163,96,38,4,16,9,2288.1,1297.5,191,133,2100,230,0.2331288343558282,0.6178571428571429,1.0895714285714286,True,188.0999999999999,802.5,Overbooked,188.0999999999999,13,Medium
Travemünde,Trelleborg,2025-12-25,14:00,SHIP_04,172,111,39,8,10,4,2387.7,1497.8,201,141,2200,250,0.2267441860465116,0.6808181818181818,1.0853181818181816,True,187.69999999999985,702.2,Overbooked,187.69999999999985,13,Medium
Klaipeda,Rostock,2025-01-27,06:00,SHIP_02,151,85,44,8,9,5,2187.1,1194.9,172,105,2000,220,0.2913907284768212,0.59745,1.09355,True,187.0999999999999,805.0999999999999,Overbooked,187.0999999999999,13,Medium
Klaipeda,Travemünde,2025-10-20,22:00,SHIP_04,167,94,46,6,12,9,2386.8,1355.8,198,125,2200,250,0.2754491017964072,0.6162727272727273,1.084909090909091,True,186.80000000000015,844.2,Overbooked,186.80000000000015,13,Medium
Rostock,Trelleborg,2025-05-30,18:00,SHIP_02,159,88,48,6,14,3,2186.6,1160.6,190,123,2000,220,0.3018867924528302,0.5802999999999999,1.0933,True,186.5999999999999,839.4000000000001,Overbooked,186.5999999999999,13,Medium
Travemünde,Klaipeda,2024-04-05,18:00,SHIP_01,146,94,39,2,7,4,1986.4,1191.1,171,117,1800,180,0.2671232876712329,0.6617222222222222,1.1035555555555556,True,186.4000000000001,608.9000000000001,Overbooked,186.4000000000001,13,Medium
Travemünde,Klaipeda,2024-05-30,08:00,SHIP_03,166,102,43,8,6,7,2286.4,1423.3,191,126,2100,230,0.2590361445783132,0.6777619047619048,1.0887619047619048,True,186.4000000000001,676.7,Overbooked,186.4000000000001,13,Medium
Travemünde,Trelleborg,2025-12-16,22:00,SHIP_02,156,85,49,10,8,4,2186.4,1129.6,176,105,2000,220,0.3141025641025641,0.5648,1.0932,True,186.4000000000001,870.4000000000001,Overbooked,186.4000000000001,13,Medium
Trelleborg,Rostock,2025-08-07,10:00,SHIP_02,158,85,49,10,6,8,2186.0,1095.0,179,105,2000,220,0.310126582278481,0.5475,1.093,True,186.0,905.0,Overbooked,186.0,13,Medium
Rostock,Klaipeda,2024-05-11,14:00,SHIP_03,165,101,44,9,8,3,2285.1,1361.8,193,126,2100,230,0.2666666666666666,0.6484761904761904,1.088142857142857,True,185.0999999999999,738.2,Overbooked,185.0999999999999,13,Medium
Klaipeda,Travemünde,2025-10-11,14:00,SHIP_04,171,117,36,5,5,8,2385.0,1630.5,203,145,2200,250,0.2105263157894736,0.7411363636363636,1.084090909090909,True,185.0,569.5,Overbooked,185.0,13,Medium
Trelleborg,Rostock,2025-04-23,08:00,SHIP_01,142,89,34,8,7,4,1984.9,1235.9,162,110,1800,180,0.2394366197183098,0.6866111111111112,1.1027222222222224,True,184.9000000000001,564.0999999999999,Overbooked,184.9000000000001,13,Medium
Klaipeda,Travemünde,2025-03-30,10:00,SHIP_03,170,110,40,4,12,4,2284.8,1471.4,204,148,2100,230,0.2352941176470588,0.7006666666666667,1.088,True,184.80000000000015,628.5999999999999,Overbooked,184.80000000000015,13,Medium
Swinoujscie,Trelleborg,2025-01-09,14:00,SHIP_01,148,90,38,6,8,6,1984.8,1177.1,165,109,1800,180,0.2567567567567567,0.6539444444444444,1.102666666666667,True,184.79999999999995,622.9000000000001,Overbooked,184.79999999999995,13,Medium
Klaipeda,Rostock,2025-01-22,06:00,SHIP_02,162,104,45,2,7,4,2184.6,1378.6,185,125,2000,220,0.2777777777777778,0.6892999999999999,1.0923,True,184.5999999999999,621.4000000000001,Overbooked,184.5999999999999,13,Medium
Trelleborg,Rostock,2024-11-08,18:00,SHIP_03,166,106,40,7,9,4,2284.2,1382.0,200,138,2100,230,0.2409638554216867,0.6580952380952381,1.0877142857142856,True,184.19999999999985,718.0,Overbooked,184.19999999999985,13,Medium
Trelleborg,Rostock,2024-06-17,18:00,SHIP_04,171,97,54,1,13,6,2384.1,1268.3,192,122,2200,250,0.3157894736842105,0.5765,1.0836818181818182,True,184.0999999999999,931.7,Overbooked,184.0999999999999,13,Medium
Travemünde,Klaipeda,2025-12-12,18:00,SHIP_03,157,98,38,7,10,4,2284.1,1356.9,179,123,2100,230,0.2420382165605095,0.6461428571428572,1.0876666666666666,True,184.0999999999999,743.0999999999999,Overbooked,184.0999999999999,13,Medium
Trelleborg,Rostock,2024-01-19,10:00,SHIP_04,168,102,50,4,10,2,2382.4,1362.5,196,127,2200,250,0.2976190476190476,0.6193181818181818,1.082909090909091,True,182.4000000000001,837.5,Overbooked,182.4000000000001,13,Medium
Trelleborg,Travemünde,2024-02-27,22:00,SHIP_05,187,102,67,7,9,2,2582.3,1372.8,211,123,2400,280,0.3582887700534759,0.572,1.0759583333333331,True,182.30000000000015,1027.2,Overbooked,182.30000000000015,13,Medium
Klaipeda,Rostock,2024-10-12,22:00,SHIP_01,140,84,34,7,10,5,1981.8,1161.2,161,108,1800,180,0.2428571428571428,0.6451111111111112,1.101,True,181.79999999999995,638.8,Overbooked,181.79999999999995,13,Medium
Travemünde,Trelleborg,2024-04-11,08:00,SHIP_05,188,111,52,6,14,5,2581.6,1536.1,213,141,2400,280,0.2765957446808511,0.6400416666666666,1.0756666666666663,True,181.5999999999999,863.9000000000001,Overbooked,181.5999999999999,13,Medium
Rostock,Klaipeda,2024-08-23,06:00,SHIP_05,184,106,52,8,10,8,2581.4,1428.7,202,130,2400,280,0.2826086956521739,0.5952916666666667,1.0755833333333331,True,181.4000000000001,971.3,Overbooked,181.4000000000001,13,Medium
Klaipeda,Rostock,2024-03-16,14:00,SHIP_03,169,101,48,6,8,6,2280.8,1311.0,193,129,2100,230,0.2840236686390532,0.6242857142857143,1.0860952380952382,True,180.80000000000015,789.0,Overbooked,180.80000000000015,13,Medium
Trelleborg,Rostock,2025-03-06,08:00,SHIP_03,159,99,37,7,11,5,2280.8,1381.5,180,126,2100,230,0.2327044025157232,0.6578571428571428,1.0860952380952382,True,180.80000000000015,718.5,Overbooked,180.80000000000015,13,Medium
Klaipeda,Travemünde,2025-05-24,06:00,SHIP_01,142,91,35,7,7,2,1980.4,1273.4,164,111,1800,180,0.2464788732394366,0.7074444444444445,1.1002222222222222,True,180.4000000000001,526.5999999999999,Overbooked,180.4000000000001,13,Medium
Trelleborg,Travemünde,2025-03-30,06:00,SHIP_05,193,120,50,9,10,4,2580.3,1515.4,230,160,2400,280,0.2590673575129533,0.6314166666666667,1.075125,True,180.30000000000015,884.5999999999999,Overbooked,180.30000000000015,13,Medium
Swinoujscie,Trelleborg,2024-04-10,22:00,SHIP_02,156,94,43,5,11,3,2180.1,1280.8,182,123,2000,220,0.2756410256410256,0.6404,1.09005,True,180.0999999999999,719.2,Overbooked,180.0999999999999,13,Medium
Rostock,Trelleborg,2024-02-08,14:00,SHIP_04,170,101,46,9,10,4,2379.7,1381.8,199,135,2200,250,0.2705882352941176,0.628090909090909,1.0816818181818182,True,179.69999999999982,818.2,Overbooked,179.69999999999982,13,Medium
Klaipeda,Travemünde,2025-05-21,18:00,SHIP_01,141,93,32,3,9,4,1979.6,1277.6,161,114,1800,180,0.226950354609929,0.7097777777777777,1.0997777777777775,True,179.5999999999999,522.4000000000001,Overbooked,179.5999999999999,13,Medium
Rostock,Trelleborg,2025-11-27,18:00,SHIP_01,146,84,42,8,8,4,1979.6,1109.6,165,106,1800,180,0.2876712328767123,0.6164444444444444,1.0997777777777775,True,179.5999999999999,690.4000000000001,Overbooked,179.5999999999999,13,Medium
Travemünde,Klaipeda,2024-05-20,08:00,SHIP_02,156,99,43,4,8,2,2179.4,1315.4,184,124,2000,220,0.2756410256410256,0.6577000000000001,1.0897,True,179.4000000000001,684.5999999999999,Overbooked,179.4000000000001,13,Medium
Trelleborg,Rostock,2024-12-16,14:00,SHIP_04,168,93,49,8,10,8,2378.8,1231.7,200,122,2200,250,0.2916666666666667,0.5598636363636363,1.0812727272727274,True,178.80000000000018,968.3,Overbooked,178.80000000000018,13,Medium
Trelleborg,Travemünde,2024-05-08,06:00,SHIP_02,151,95,43,6,4,3,2178.7,1329.7,180,118,2000,220,0.2847682119205298,0.66485,1.0893499999999998,True,178.69999999999982,670.3,Overbooked,178.69999999999982,13,Medium
Travemünde,Klaipeda,2024-09-19,18:00,SHIP_04,172,103,39,7,16,7,2378.5,1367.8,196,135,2200,250,0.2267441860465116,0.6217272727272727,1.0811363636363636,True,178.5,832.2,Overbooked,178.5,13,Medium
Trelleborg,Swinoujscie,2024-02-13,18:00,SHIP_01,141,79,41,7,8,6,1978.5,1094.6,155,98,1800,180,0.2907801418439716,0.608111111111111,1.0991666666666666,True,178.5,705.4000000000001,Overbooked,178.5,13,Medium
Klaipeda,Rostock,2024-06-20,10:00,SHIP_04,166,100,49,9,5,3,2378.3,1397.6,201,127,2200,250,0.2951807228915662,0.6352727272727273,1.0810454545454546,True,178.30000000000018,802.3999999999999,Overbooked,178.30000000000018,13,Medium
Trelleborg,Swinoujscie,2024-03-14,14:00,SHIP_01,139,89,32,5,8,5,1978.3,1280.3,162,114,1800,180,0.2302158273381295,0.7112777777777778,1.0990555555555557,True,178.29999999999995,519.7,Overbooked,178.29999999999995,13,Medium
Travemünde,Trelleborg,2024-10-23,22:00,SHIP_02,155,94,38,7,12,4,2177.8,1268.5,176,119,2000,220,0.2451612903225806,0.63425,1.0889000000000002,True,177.80000000000018,731.5,Overbooked,177.80000000000018,13,Medium
Swinoujscie,Trelleborg,2024-01-04,18:00,SHIP_02,156,106,34,7,5,4,2177.4,1440.8,183,127,2000,220,0.2179487179487179,0.7203999999999999,1.0887,True,177.4000000000001,559.2,Overbooked,177.4000000000001,13,Medium
Trelleborg,Swinoujscie,2024-01-22,08:00,SHIP_03,155,90,44,5,7,9,2277.3,1298.0,178,109,2100,230,0.2838709677419355,0.6180952380952381,1.0844285714285715,True,177.30000000000018,802.0,Overbooked,177.30000000000018,13,Medium
Travemünde,Klaipeda,2025-04-08,08:00,SHIP_05,188,120,40,8,13,7,2577.2,1627.3,214,151,2400,280,0.2127659574468085,0.6780416666666667,1.0738333333333332,True,177.19999999999982,772.7,Overbooked,177.19999999999982,13,Medium
Klaipeda,Travemünde,2025-08-14,14:00,SHIP_01,142,101,28,4,6,3,1976.7,1379.9,154,117,1800,180,0.1971830985915492,0.7666111111111111,1.0981666666666667,True,176.70000000000005,420.0999999999999,Overbooked,176.70000000000005,13,Medium
Rostock,Trelleborg,2025-07-31,06:00,SHIP_01,143,89,33,2,15,4,1976.7,1233.5,164,121,1800,180,0.2307692307692307,0.6852777777777778,1.0981666666666667,True,176.70000000000005,566.5,Overbooked,176.70000000000005,13,Medium
Trelleborg,Travemünde,2025-10-10,10:00,SHIP_04,174,98,52,8,7,9,2376.6,1285.0,198,121,2200,250,0.2988505747126437,0.5840909090909091,1.0802727272727273,True,176.5999999999999,915.0,Overbooked,176.5999999999999,13,Medium
Trelleborg,Rostock,2025-06-30,08:00,SHIP_01,141,90,31,6,11,3,1976.5,1224.1,166,121,1800,180,0.2198581560283688,0.6800555555555555,1.0980555555555556,True,176.5,575.9000000000001,Overbooked,176.5,13,Medium
Trelleborg,Swinoujscie,2024-05-01,08:00,SHIP_05,183,100,51,12,12,8,2576.0,1341.9,210,128,2400,280,0.2786885245901639,0.559125,1.0733333333333333,True,176.0,1058.1,Overbooked,176.0,13,Medium
Trelleborg,Swinoujscie,2025-04-07,18:00,SHIP_01,144,85,38,9,5,7,1975.7,1140.4,164,103,1800,180,0.2638888888888889,0.6335555555555556,1.097611111111111,True,175.70000000000005,659.5999999999999,Overbooked,175.70000000000005,13,Medium
Swinoujscie,Trelleborg,2025-12-25,10:00,SHIP_02,159,100,45,5,6,3,2175.3,1294.6,174,114,2000,220,0.2830188679245283,0.6473,1.08765,True,175.30000000000018,705.4000000000001,Overbooked,175.30000000000018,13,Medium
Rostock,Trelleborg,2024-01-02,14:00,SHIP_03,167,100,43,11,8,5,2275.3,1378.0,191,121,2100,230,0.2574850299401197,0.6561904761904762,1.0834761904761905,True,175.30000000000018,722.0,Overbooked,175.30000000000018,13,Medium
Rostock,Klaipeda,2025-05-24,06:00,SHIP_01,146,89,33,2,16,6,1975.3,1182.2,171,125,1800,180,0.2260273972602739,0.6567777777777778,1.097388888888889,True,175.29999999999995,617.8,Overbooked,175.29999999999995,13,Medium
Rostock,Trelleborg,2025-09-20,18:00,SHIP_02,156,91,39,8,13,5,2175.1,1240.4,188,126,2000,220,0.25,0.6202000000000001,1.08755,True,175.0999999999999,759.5999999999999,Overbooked,175.0999999999999,13,Medium
Rostock,Klaipeda,2024-06-08,08:00,SHIP_01,140,81,32,9,14,4,1974.9,1102.4,161,107,1800,180,0.2285714285714285,0.6124444444444445,1.0971666666666666,True,174.9000000000001,697.5999999999999,Overbooked,174.9000000000001,12,Medium
Travemünde,Klaipeda,2024-01-16,08:00,SHIP_02,159,104,36,7,7,5,2174.7,1388.6,184,132,2000,220,0.2264150943396226,0.6942999999999999,1.0873499999999998,True,174.69999999999982,611.4000000000001,Overbooked,174.69999999999982,12,Medium
Rostock,Klaipeda,2025-05-23,06:00,SHIP_05,194,112,61,7,10,4,2574.1,1424.5,218,138,2400,280,0.3144329896907216,0.5935416666666666,1.0725416666666667,True,174.0999999999999,975.5,Overbooked,174.0999999999999,12,Medium
Rostock,Klaipeda,2024-09-22,22:00,SHIP_02,153,92,38,4,12,7,2173.7,1295.3,176,124,2000,220,0.2483660130718954,0.64765,1.08685,True,173.69999999999982,704.7,Overbooked,173.69999999999982,12,Medium
Trelleborg,Rostock,2024-04-08,10:00,SHIP_02,154,93,43,5,7,6,2173.6,1292.3,172,114,2000,220,0.2792207792207792,0.64615,1.0868,True,173.5999999999999,707.7,Overbooked,173.5999999999999,12,Medium
Travemünde,Klaipeda,2024-03-22,18:00,SHIP_02,165,106,42,6,7,4,2173.3,1386.2,190,129,2000,220,0.2545454545454545,0.6931,1.08665,True,173.30000000000018,613.8,Overbooked,173.30000000000018,12,Medium
Trelleborg,Travemünde,2025-01-07,22:00,SHIP_04,166,100,50,4,6,6,2372.6,1409.7,194,125,2200,250,0.3012048192771084,0.6407727272727273,1.078454545454545,True,172.5999999999999,790.3,Overbooked,172.5999999999999,12,Medium
Klaipeda,Rostock,2024-02-14,18:00,SHIP_01,140,93,29,6,12,0,1972.4,1259.8,159,121,1800,180,0.2071428571428571,0.6998888888888889,1.0957777777777775,True,172.4000000000001,540.2,Overbooked,172.4000000000001,12,Medium
Klaipeda,Travemünde,2025-02-28,14:00,SHIP_03,160,102,39,5,9,5,2272.4,1364.9,179,123,2100,230,0.24375,0.649952380952381,1.0820952380952382,True,172.4000000000001,735.0999999999999,Overbooked,172.4000000000001,12,Medium
Trelleborg,Swinoujscie,2024-11-07,18:00,SHIP_03,163,110,35,7,8,3,2272.0,1476.4,185,134,2100,230,0.2147239263803681,0.7030476190476191,1.081904761904762,True,172.0,623.5999999999999,Overbooked,172.0,12,Medium
Rostock,Trelleborg,2024-03-24,10:00,SHIP_02,149,94,37,8,5,5,2171.6,1323.7,172,110,2000,220,0.2483221476510067,0.66185,1.0858,True,171.5999999999999,676.3,Overbooked,171.5999999999999,12,Medium
Travemünde,Klaipeda,2024-09-23,18:00,SHIP_01,143,88,37,8,7,3,1971.5,1162.2,165,110,1800,180,0.2587412587412587,0.6456666666666667,1.0952777777777778,True,171.5,637.8,Overbooked,171.5,12,Medium
Klaipeda,Travemünde,2024-03-20,08:00,SHIP_02,159,95,40,6,10,8,2171.4,1266.6,179,118,2000,220,0.2515723270440251,0.6333,1.0857,True,171.4000000000001,733.4000000000001,Overbooked,171.4000000000001,12,Medium
Klaipeda,Rostock,2025-12-12,18:00,SHIP_03,163,97,44,4,13,5,2271.3,1327.2,188,127,2100,230,0.2699386503067484,0.632,1.0815714285714286,True,171.30000000000018,772.8,Overbooked,171.30000000000018,12,Medium
Klaipeda,Travemünde,2025-07-26,06:00,SHIP_01,138,79,36,10,10,3,1971.2,1124.4,159,103,1800,180,0.2608695652173913,0.6246666666666667,1.0951111111111111,True,171.20000000000005,675.5999999999999,Overbooked,171.20000000000005,12,Medium
Rostock,Klaipeda,2025-06-24,22:00,SHIP_02,151,86,44,7,9,5,2170.7,1195.6,164,101,2000,220,0.2913907284768212,0.5978,1.0853499999999998,True,170.69999999999982,804.4000000000001,Overbooked,170.69999999999982,12,Medium
Trelleborg,Rostock,2024-05-20,18:00,SHIP_04,169,110,41,8,6,4,2370.1,1524.7,201,137,2200,250,0.2426035502958579,0.6930454545454545,1.0773181818181818,True,170.0999999999999,675.3,Overbooked,170.0999999999999,12,Medium
Klaipeda,Travemünde,2025-08-12,10:00,SHIP_03,168,102,47,5,8,6,2270.1,1355.7,193,126,2100,230,0.2797619047619047,0.6455714285714286,1.081,True,170.0999999999999,744.3,Overbooked,170.0999999999999,12,Medium
Klaipeda,Travemünde,2025-10-10,18:00,SHIP_02,156,93,43,5,8,7,2170.0,1271.4,181,118,2000,220,0.2756410256410256,0.6357,1.085,True,170.0,728.5999999999999,Overbooked,170.0,12,Medium
Swinoujscie,Trelleborg,2025-01-19,08:00,SHIP_05,180,117,48,5,7,3,2569.8,1633.9,205,137,2400,280,0.2666666666666666,0.6807916666666667,1.07075,True,169.80000000000018,766.0999999999999,Overbooked,169.80000000000018,12,Medium
Klaipeda,Travemünde,2024-01-18,08:00,SHIP_05,184,113,50,2,11,8,2569.8,1516.7,202,135,2400,280,0.2717391304347826,0.6319583333333334,1.07075,True,169.80000000000018,883.3,Overbooked,169.80000000000018,12,Medium
Trelleborg,Rostock,2024-04-17,14:00,SHIP_04,168,98,44,8,11,7,2369.8,1324.1,193,125,2200,250,0.2619047619047619,0.6018636363636363,1.0771818181818182,True,169.80000000000018,875.9000000000001,Overbooked,169.80000000000018,12,Medium
Swinoujscie,Trelleborg,2024-09-23,18:00,SHIP_05,180,117,46,6,8,3,2569.7,1617.1,212,148,2400,280,0.2555555555555555,0.6737916666666667,1.0707083333333332,True,169.69999999999982,782.9000000000001,Overbooked,169.69999999999982,12,Medium
Klaipeda,Rostock,2025-09-10,14:00,SHIP_04,163,94,42,11,12,4,2369.0,1321.7,175,115,2200,250,0.2576687116564417,0.6007727272727273,1.076818181818182,True,169.0,878.3,Overbooked,169.0,12,Medium
Trelleborg,Rostock,2024-10-17,06:00,SHIP_04,171,100,48,7,11,5,2368.7,1359.4,195,125,2200,250,0.2807017543859649,0.617909090909091,1.076681818181818,True,168.69999999999982,840.5999999999999,Overbooked,168.69999999999982,12,Medium
Trelleborg,Swinoujscie,2024-07-23,06:00,SHIP_01,142,85,39,7,6,5,1968.5,1163.0,172,112,1800,180,0.2746478873239437,0.6461111111111111,1.093611111111111,True,168.5,637.0,Overbooked,168.5,12,Medium
Travemünde,Klaipeda,2025-01-13,08:00,SHIP_01,139,80,38,6,14,1,1968.0,1067.9,155,103,1800,180,0.2733812949640288,0.5932777777777778,1.0933333333333333,True,168.0,732.0999999999999,Overbooked,168.0,12,Medium
Travemünde,Klaipeda,2024-08-16,08:00,SHIP_01,139,80,46,1,5,7,1968.0,1078.5,159,98,1800,180,0.3309352517985611,0.5991666666666666,1.0933333333333333,True,168.0,721.5,Overbooked,168.0,12,Medium
Swinoujscie,Trelleborg,2024-06-01,10:00,SHIP_03,161,101,46,5,7,2,2267.9,1381.8,193,129,2100,230,0.2857142857142857,0.658,1.079952380952381,True,167.9000000000001,718.2,Overbooked,167.9000000000001,12,Medium
Swinoujscie,Trelleborg,2025-05-15,06:00,SHIP_01,142,78,36,3,15,10,1967.9,1018.5,160,107,1800,180,0.2535211267605634,0.5658333333333333,1.0932777777777778,True,167.9000000000001,781.5,Overbooked,167.9000000000001,12,Medium
Trelleborg,Swinoujscie,2025-03-13,08:00,SHIP_02,151,96,34,7,8,6,2167.8,1321.8,177,122,2000,220,0.2251655629139073,0.6608999999999999,1.0839,True,167.80000000000018,678.2,Overbooked,167.80000000000018,12,Medium
Klaipeda,Travemünde,2025-04-13,22:00,SHIP_02,158,92,44,9,7,6,2167.6,1266.3,178,112,2000,220,0.2784810126582278,0.63315,1.0838,True,167.5999999999999,733.7,Overbooked,167.5999999999999,12,Medium
Swinoujscie,Trelleborg,2025-02-02,18:00,SHIP_02,154,97,38,5,8,6,2167.6,1307.1,176,120,2000,220,0.2467532467532467,0.65355,1.0838,True,167.5999999999999,692.9000000000001,Overbooked,167.5999999999999,12,Medium
Klaipeda,Rostock,2025-04-23,18:00,SHIP_02,152,89,44,8,8,3,2166.7,1236.5,173,113,2000,220,0.2894736842105263,0.61825,1.0833499999999998,True,166.69999999999982,763.5,Overbooked,166.69999999999982,12,Medium
Rostock,Klaipeda,2024-01-03,14:00,SHIP_04,171,105,42,8,12,4,2366.5,1417.4,195,132,2200,250,0.2456140350877192,0.6442727272727273,1.0756818181818182,True,166.5,782.5999999999999,Overbooked,166.5,12,Medium
Travemünde,Klaipeda,2025-02-15,22:00,SHIP_01,138,90,31,7,6,4,1966.2,1244.6,154,108,1800,180,0.2246376811594203,0.6914444444444444,1.0923333333333334,True,166.20000000000005,555.4000000000001,Overbooked,166.20000000000005,12,Medium
Rostock,Trelleborg,2024-05-23,06:00,SHIP_05,181,103,54,3,14,7,2565.0,1404.6,206,133,2400,280,0.2983425414364641,0.5852499999999999,1.06875,True,165.0,995.4,Overbooked,165.0,12,Medium
Swinoujscie,Trelleborg,2025-04-24,18:00,SHIP_04,170,108,45,7,5,5,2365.0,1469.2,194,126,2200,250,0.2647058823529412,0.6678181818181819,1.075,True,165.0,730.8,Overbooked,165.0,12,Medium
Trelleborg,Rostock,2025-08-17,14:00,SHIP_02,160,98,37,8,11,6,2164.9,1308.7,194,128,2000,220,0.23125,0.65435,1.08245,True,164.9000000000001,691.3,Overbooked,164.9000000000001,12,Medium
Travemünde,Klaipeda,2025-12-15,22:00,SHIP_04,170,106,43,6,11,4,2364.8,1437.1,185,131,2200,250,0.2529411764705882,0.6532272727272727,1.074909090909091,True,164.80000000000018,762.9000000000001,Overbooked,164.80000000000018,12,Medium
Klaipeda,Travemünde,2025-01-22,08:00,SHIP_03,163,91,48,6,10,8,2264.7,1238.0,189,120,2100,230,0.294478527607362,0.5895238095238096,1.0784285714285713,True,164.69999999999982,862.0,Overbooked,164.69999999999982,12,Medium
Swinoujscie,Trelleborg,2025-04-30,18:00,SHIP_02,155,85,47,7,9,7,2164.6,1156.8,178,106,2000,220,0.3032258064516129,0.5784,1.0823,True,164.5999999999999,843.2,Overbooked,164.5999999999999,12,Medium
Swinoujscie,Trelleborg,2024-03-24,06:00,SHIP_03,163,96,38,7,15,7,2264.6,1322.5,188,126,2100,230,0.2331288343558282,0.6297619047619047,1.0783809523809524,True,164.5999999999999,777.5,Overbooked,164.5999999999999,12,Medium
Trelleborg,Rostock,2025-06-10,14:00,SHIP_03,164,94,49,7,9,5,2264.3,1267.1,186,119,2100,230,0.298780487804878,0.6033809523809524,1.0782380952380952,True,164.30000000000018,832.9000000000001,Overbooked,164.30000000000018,12,Medium
