Customer_Number,Total_Final_Bookings,Loaded_Bookings,NoShow_Count,Reserved_Meter,Loaded_Meter,NoShow_Rate,Booking_Reliability_Score,Unused_Meter,Meter_Utilization_Rate,Risk_Category,Deferral_Candidate_Score
C01184,42,23,19,582.9,311.6,0.4523809523809524,0.5476190476190477,271.29999999999995,0.5345685366272088,Medium Risk,0.4549910545793201
C00156,42,23,19,608.0,329.6,0.4523809523809524,0.5476190476190477,278.4,0.5421052631578948,Medium Risk,0.4534837092731829
C00776,40,22,18,553.6,298.4,0.45,0.55,255.20000000000005,0.5390173410404624,Medium Risk,0.4521965317919075
C00814,49,27,22,647.7,349.4,0.4489795918367347,0.5510204081632653,298.30000000000007,0.5394472749729813,Medium Risk,0.4512942184747914
C01045,38,21,17,537.2,288.2,0.4473684210526316,0.5526315789473685,249.00000000000009,0.5364854802680565,Medium Risk,0.4505976407884939
C00605,36,20,16,533.9,291.1,0.4444444444444444,0.5555555555555556,242.79999999999995,0.5452331897359056,Medium Risk,0.4465089176083744
C00940,42,23,19,583.5,337.8,0.4523809523809524,0.5476190476190477,245.7,0.5789203084832905,Medium Risk,0.4461207002081038
C00909,59,33,26,856.2,476.0,0.4406779661016949,0.559322033898305,380.2000000000001,0.555944872693296,Medium Risk,0.4413533983426967
C00867,34,19,15,495.3,277.4,0.4411764705882353,0.5588235294117647,217.90000000000003,0.5600646073087018,Medium Risk,0.4409282550088478
C00089,41,23,18,544.5,301.9,0.4390243902439024,0.5609756097560976,242.6,0.5544536271808999,Medium Risk,0.4403287867589419
C00965,46,26,20,634.4,344.3,0.4347826086956521,0.5652173913043478,290.1,0.5427175283732661,Medium Risk,0.4392825812818685
C00029,39,22,17,542.3,302.4,0.4358974358974359,0.5641025641025641,239.9,0.557624930850083,Medium Risk,0.4371929625479321
C00063,44,25,19,617.5,335.1,0.4318181818181818,0.5681818181818182,282.4,0.542672064777328,Medium Risk,0.4369201324990798
C01071,26,15,11,373.4,194.7,0.4230769230769231,0.5769230769230769,178.70000000000005,0.5214247455811462,Medium Risk,0.4341765893453092
C00457,33,19,14,442.8,233.9,0.4242424242424242,0.5757575757575758,208.9,0.5282294489611563,Medium Risk,0.4337480496017081
C00972,40,23,17,583.9,315.5,0.425,0.575,268.4,0.540332248672718,Medium Risk,0.4319335502654564
C00875,45,26,19,597.7,318.9,0.4222222222222222,0.5777777777777777,278.80000000000007,0.5335452568178015,Medium Risk,0.4310687264142175
C00370,42,24,18,591.0,330.5,0.4285714285714285,0.5714285714285714,260.5,0.5592216582064298,Medium Risk,0.4310128112158569
C00056,33,19,14,428.3,232.5,0.4242424242424242,0.5757575757575758,195.8,0.5428438010740135,Medium Risk,0.4308251791791366
C01002,35,20,15,450.8,252.6,0.4285714285714285,0.5714285714285714,198.2,0.5603371783496007,Medium Risk,0.4307897071872227
C01098,49,28,21,674.0,381.9,0.4285714285714285,0.5714285714285714,292.1,0.5666172106824926,Medium Risk,0.4295337007206443
C00071,35,20,15,506.5,288.4,0.4285714285714285,0.5714285714285714,218.1,0.5693978282329714,Medium Risk,0.4289775772105486
C00586,37,21,16,544.8,319.0,0.4324324324324324,0.5675675675675675,225.79999999999995,0.5855359765051396,Medium Risk,0.428838750644918
C00464,33,19,14,485.6,268.8,0.4242424242424242,0.5757575757575758,216.8,0.5535420098846787,Medium Risk,0.4286855374170036
C00292,40,23,17,550.3,309.0,0.425,0.575,241.29999999999995,0.5615119025985826,Medium Risk,0.4276976194802834
C00887,38,22,16,525.6,288.1,0.4210526315789473,0.5789473684210527,237.5,0.5481354642313546,Medium Risk,0.4272150124168869
C00383,46,27,19,628.9,328.2,0.4130434782608695,0.5869565217391305,300.7,0.5218635713149944,Medium Risk,0.4260620683456967
C00639,38,22,16,546.3,305.0,0.4210526315789473,0.5789473684210527,241.29999999999995,0.5583012996522058,Medium Risk,0.4251818453327167
C00510,43,25,18,566.2,310.9,0.4186046511627907,0.5813953488372093,255.30000000000007,0.5490992582126456,Medium Risk,0.4250638692877034
C01140,45,26,19,620.9,351.1,0.4222222222222222,0.5777777777777777,269.79999999999995,0.5654694797874055,Medium Risk,0.4246838818202967
C00954,38,22,16,580.4,328.8,0.4210526315789473,0.5789473684210527,251.6,0.5665058580289456,Medium Risk,0.4235409336573687
C00905,55,32,23,738.4,416.2,0.4181818181818181,0.5818181818181818,322.2,0.5636511375947996,Medium Risk,0.4218152270264946
C01054,38,22,16,520.9,304.4,0.4210526315789473,0.5789473684210527,216.5,0.5843732002303705,Medium Risk,0.4199674652170837
C00565,33,19,14,425.3,254.5,0.4242424242424242,0.5757575757575758,170.8,0.5984011286150952,Medium Risk,0.4197137136709203
C00314,46,27,19,649.8,365.6,0.4130434782608695,0.5869565217391305,284.19999999999993,0.5626346568174824,Medium Risk,0.4179078512451991
C00206,36,21,15,539.5,315.4,0.4166666666666667,0.5833333333333334,224.1,0.5846153846153845,Medium Risk,0.4164102564102564
C00530,32,19,13,441.6,246.0,0.40625,0.59375,195.6,0.5570652173913043,Medium Risk,0.4135869565217391
C00347,34,20,14,450.5,264.2,0.4117647058823529,0.5882352941176471,186.3,0.5864594894561598,Medium Risk,0.4121198668146504
C01088,52,31,21,701.5,393.0,0.4038461538461538,0.5961538461538461,308.5,0.5602280826799715,Medium Risk,0.4110313065409288
C00420,34,20,14,497.9,295.3,0.4117647058823529,0.5882352941176471,202.6,0.5930909821249247,Medium Risk,0.4107935682808974
C00359,34,20,14,487.1,288.9,0.4117647058823529,0.5882352941176471,198.20000000000005,0.5931020324368712,Medium Risk,0.4107913582185081
C00274,45,27,18,625.8,342.7,0.4,0.6,283.1,0.5476190476190477,Medium Risk,0.4104761904761905
C00657,37,22,15,507.2,290.0,0.4054054054054054,0.5945945945945946,217.2,0.5717665615141956,Medium Risk,0.4099710120214852
C00236,39,23,16,503.4,298.6,0.4102564102564102,0.5897435897435898,204.79999999999995,0.5931664680174812,Medium Risk,0.409571834601632
C00789,39,23,16,549.5,327.4,0.4102564102564102,0.5897435897435898,222.1,0.5958143767060964,Medium Risk,0.4090422528639089
C00155,42,25,17,568.3,326.8,0.4047619047619047,0.5952380952380952,241.49999999999997,0.5750483899348936,Medium Risk,0.4087998458225451
C00695,37,22,15,506.9,293.0,0.4054054054054054,0.5945945945945946,213.90000000000003,0.5780232787532057,Medium Risk,0.4087196685736832
C00183,29,17,12,407.0,250.1,0.4137931034482758,0.5862068965517241,156.9,0.6144963144963145,Medium Risk,0.4081352198593578
C01176,52,31,21,775.1,447.0,0.4038461538461538,0.5961538461538461,328.1,0.5766997806734615,Medium Risk,0.4077369669422308
C01036,42,25,17,595.1,345.8,0.4047619047619047,0.5952380952380952,249.3,0.5810788102839859,Medium Risk,0.4075937617527266
C01080,40,24,16,520.9,294.4,0.4,0.6,226.5,0.565175657515838,Medium Risk,0.4069648684968324
C00724,30,18,12,415.5,235.4,0.4,0.6,180.1,0.566546329723225,Medium Risk,0.406690734055355
C00550,40,24,16,610.7,348.7,0.4,0.6,262.00000000000006,0.5709841165875225,Medium Risk,0.4058031766824955
C00718,35,21,14,479.2,275.6,0.4,0.6,203.6,0.5751252086811353,Medium Risk,0.4049749582637729
C00919,37,22,15,558.9,339.6,0.4054054054054054,0.5945945945945946,219.29999999999995,0.6076221148684917,Medium Risk,0.402799901350626
C00137,43,26,17,629.9,358.5,0.3953488372093023,0.6046511627906976,271.4,0.5691379584060963,Medium Risk,0.4024514780862226
C00800,50,30,20,737.4,433.5,0.4,0.6,303.9,0.5878763222131814,Medium Risk,0.4024247355573637
C00260,45,27,18,599.8,352.9,0.4,0.6,246.9,0.5883627875958652,Medium Risk,0.4023274424808269
C00683,40,24,16,552.7,328.2,0.4,0.6,224.50000000000009,0.5938121946806585,Medium Risk,0.4012375610638683
C00384,48,29,19,612.8,355.0,0.3958333333333333,0.6041666666666666,257.79999999999995,0.5793080939947781,Medium Risk,0.400805047867711
C00649,43,26,17,652.9,382.0,0.3953488372093023,0.6046511627906976,270.9,0.5850819421044571,Medium Risk,0.3992626813465504
C01115,38,23,15,495.9,289.3,0.3947368421052631,0.6052631578947368,206.6,0.5833837467231298,Medium Risk,0.3991127243395845
C00991,45,27,18,634.1,388.5,0.4,0.6,245.6,0.612679388109131,Medium Risk,0.3974641223781738
C00254,26,16,10,384.6,212.4,0.3846153846153846,0.6153846153846154,172.20000000000002,0.5522620904836193,Medium Risk,0.3972398895955839
C00947,33,20,13,456.8,269.6,0.3939393939393939,0.6060606060606061,187.2,0.5901926444833625,Medium Risk,0.3971129862548426
C00523,30,18,12,437.9,270.1,0.4,0.6,167.79999999999995,0.6168074902945879,Medium Risk,0.3966385019410824
C00225,28,17,11,404.4,241.4,0.3928571428571428,0.6071428571428571,162.99999999999997,0.5969337289812068,Medium Risk,0.3948989684894729
C01010,30,18,12,406.5,256.8,0.4,0.6,149.7,0.6317343173431734,Medium Risk,0.3936531365313653
C00741,41,25,16,575.5,341.3,0.3902439024390244,0.6097560975609756,234.2,0.5930495221546481,Medium Risk,0.3935852175202899
C00200,41,25,16,545.2,326.9,0.3902439024390244,0.6097560975609756,218.30000000000007,0.5995964783565663,Medium Risk,0.3922758262799062
C00577,46,28,18,624.6,377.2,0.391304347826087,0.6086956521739131,247.40000000000003,0.6039065001601024,Medium Risk,0.392262178228849
C00147,36,22,14,503.9,301.2,0.3888888888888889,0.6111111111111112,202.7,0.5977376463584044,Medium Risk,0.3915635818394302
C00203,41,25,16,588.3,356.9,0.3902439024390244,0.6097560975609756,231.4,0.6066632670406256,Medium Risk,0.3908624685430944
C00808,33,20,13,472.6,294.3,0.3939393939393939,0.6060606060606061,178.3,0.6227253491324587,Medium Risk,0.3906064453250234
C00297,41,25,16,589.2,360.7,0.3902439024390244,0.6097560975609756,228.50000000000009,0.6121860149355057,Medium Risk,0.3897579189641184
C00697,31,19,12,434.1,261.5,0.3870967741935484,0.6129032258064516,172.60000000000002,0.6023957613453121,Medium Risk,0.3891982670857763
C00348,39,24,15,504.9,301.4,0.3846153846153846,0.6153846153846154,203.5,0.5969498910675382,Medium Risk,0.3883023294788
C01143,42,26,16,588.7,345.6,0.3809523809523809,0.6190476190476191,243.10000000000008,0.5870562255817903,Medium Risk,0.3873506596455467
C00032,41,25,16,602.9,377.1,0.3902439024390244,0.6097560975609756,225.79999999999995,0.6254768618344668,Medium Risk,0.3870997495843261
C00311,39,24,15,585.5,353.1,0.3846153846153846,0.6153846153846154,232.40000000000003,0.6030742954739539,Medium Risk,0.3870774485975169
C01030,32,20,12,420.9,241.8,0.375,0.625,179.10000000000002,0.5744832501781896,Medium Risk,0.3851033499643621
C00123,29,18,11,414.4,246.1,0.3793103448275862,0.6206896551724138,168.29999999999998,0.5938706563706564,Medium Risk,0.3846741445879377
C00957,37,23,14,573.0,340.40000000000003,0.3783783783783784,0.6216216216216216,232.6,0.5940663176265271,Medium Risk,0.3838894391773973
C00645,37,23,14,519.3,314.4,0.3783783783783784,0.6216216216216216,204.9,0.6054303870595031,Medium Risk,0.3816166252908021
C01100,42,26,16,608.0,375.1,0.3809523809523809,0.6190476190476191,232.9,0.6169407894736842,Medium Risk,0.3813737468671679
C01074,45,28,17,641.6,389.8,0.3777777777777777,0.6222222222222222,251.8,0.6075436408977556,Medium Risk,0.3807134940426711
C00436,58,36,22,840.9,517.4,0.3793103448275862,0.6206896551724138,323.5,0.6152931383041979,Medium Risk,0.3803896482012294
C00870,45,28,17,657.5,400.7,0.3777777777777777,0.6222222222222222,256.8,0.6094296577946768,Medium Risk,0.3803362906632869
C00268,42,26,16,630.1,392.5,0.3809523809523809,0.6190476190476191,237.6,0.6229169973020156,Medium Risk,0.3801785053015016
C00198,37,23,14,513.4,315.7,0.3783783783783784,0.6216216216216216,197.7,0.6149201402415271,Medium Risk,0.3797186746543973
C00654,51,32,19,731.5,435.0,0.3725490196078431,0.6274509803921569,296.5,0.5946684894053315,Medium Risk,0.3791055178052082
C00587,32,20,12,432.4,267.3,0.375,0.625,165.09999999999997,0.6181776133209992,Medium Risk,0.3763644773358001
C00476,30,19,11,402.9,237.8,0.3666666666666666,0.6333333333333333,165.09999999999997,0.5902208984859767,Medium Risk,0.375289153636138
C00570,43,27,16,599.6,367.7,0.3720930232558139,0.627906976744186,231.90000000000003,0.6132421614409606,Medium Risk,0.375025986316459
C00676,38,24,14,496.5,300.5,0.3684210526315789,0.631578947368421,196.0,0.6052366565961732,Medium Risk,0.3736895107860285
C00784,44,28,16,600.3,353.2,0.3636363636363636,0.6363636363636364,247.1,0.5883724804264535,Medium Risk,0.3732345948238001
C00967,43,27,16,577.6,360.8,0.3720930232558139,0.627906976744186,216.8,0.6246537396121884,Medium Risk,0.3727436706822135
C00902,40,25,15,565.8,361.1,0.375,0.625,204.69999999999996,0.6382113821138212,Medium Risk,0.3723577235772357
C00556,41,26,15,570.2,343.5,0.3658536585365853,0.6341463414634146,226.70000000000005,0.6024202034373903,Medium Risk,0.3721988861417902
C00993,46,29,17,659.6,407.9,0.3695652173913043,0.6304347826086957,251.70000000000005,0.6184050939963613,Medium Risk,0.3719711551137711
C01125,41,26,15,605.3,365.6,0.3658536585365853,0.6341463414634146,239.69999999999996,0.6039980175119776,Medium Risk,0.3718833233268728
C00338,33,21,12,459.6,281.6,0.3636363636363636,0.6363636363636364,178.0,0.6127067014795474,Medium Risk,0.3683677506131814
C01110,44,28,16,638.8,392.4,0.3636363636363636,0.6363636363636364,246.4,0.6142767689417659,Medium Risk,0.3680537371207377
C00230,38,24,14,538.5,342.0,0.3684210526315789,0.631578947368421,196.5,0.6350974930362117,Medium Risk,0.3677173434980209
C00308,41,26,15,576.9,360.5,0.3658536585365853,0.6341463414634146,216.4,0.6248916623331601,Medium Risk,0.3677045943626362
C00212,52,33,19,786.7,490.3,0.3653846153846153,0.6346153846153846,296.40000000000003,0.6232363035464599,Medium Risk,0.3676604315984003
C00932,33,21,12,447.5,277.5,0.3636363636363636,0.6363636363636364,170.0,0.6201117318435754,Medium Risk,0.3668867445403758
C01090,55,35,20,726.8,453.5,0.3636363636363636,0.6363636363636364,273.29999999999995,0.6239680792515135,Medium Risk,0.3661154750587881
C00770,33,21,12,470.4,298.3,0.3636363636363636,0.6363636363636364,172.09999999999997,0.6341411564625851,Medium Risk,0.3640808596165739
C00594,36,23,13,502.2,313.4,0.3611111111111111,0.6388888888888888,188.8,0.6240541616885703,Medium Risk,0.3640780565511748
C00862,42,27,15,622.2,379.1,0.3571428571428571,0.6428571428571429,243.1,0.6092896174863388,Medium Risk,0.3638563622170179
C00809,36,23,13,496.2,310.5,0.3611111111111111,0.6388888888888888,185.7,0.6257557436517533,Medium Risk,0.3637377401585382
C00463,39,25,14,578.2,359.2,0.358974358974359,0.6410256410256411,219.00000000000009,0.62123832583881,Medium Risk,0.3629318220117251
C00927,37,24,13,554.2,334.6,0.3513513513513513,0.6486486486486487,219.6,0.6037531577047996,Medium Risk,0.3603304495401211
C00830,31,20,11,433.2,268.2,0.3548387096774194,0.6451612903225806,165.0,0.6191135734072022,Medium Risk,0.360048253060495
C00689,42,27,15,607.9,382.1,0.3571428571428571,0.6428571428571429,225.79999999999995,0.6285573285079783,Medium Risk,0.36000282001269
C00580,45,29,16,671.8,419.9,0.3555555555555555,0.6444444444444445,251.9,0.6250372134563859,Medium Risk,0.3594370017531673
C00898,42,27,15,607.5,385.3,0.3571428571428571,0.6428571428571429,222.2,0.634238683127572,Medium Risk,0.3588665490887713
C00769,46,30,16,622.1,373.9,0.3478260869565217,0.6521739130434783,248.20000000000005,0.6010287735090821,Medium Risk,0.3580551148634009
C00019,45,29,16,562.5,357.6,0.3555555555555555,0.6444444444444445,204.9,0.6357333333333334,Medium Risk,0.3572977777777777
C01186,34,22,12,518.9,326.7,0.3529411764705882,0.6470588235294118,192.2,0.6296010792060127,Medium Risk,0.356432725335268
C00935,45,29,16,655.0,423.8,0.3555555555555555,0.6444444444444445,231.2,0.6470229007633588,Medium Risk,0.3550398642917727
C01049,32,21,11,432.8,262.7,0.34375,0.65625,170.10000000000002,0.6069778188539741,Medium Risk,0.3536044362292052
C00591,54,35,19,762.7,492.2,0.3518518518518518,0.6481481481481481,270.50000000000006,0.6453389274944277,Medium Risk,0.352413695982596
C00994,45,29,16,640.5,426.3,0.3555555555555555,0.6444444444444445,214.2,0.6655737704918033,Medium Risk,0.3513296903460838
C01159,40,26,14,567.7,366.0,0.35,0.65,201.70000000000005,0.6447067112911748,Medium Risk,0.351058657741765
C01194,43,28,15,621.5,402.6,0.3488372093023256,0.6511627906976745,218.9,0.6477876106194691,Medium Risk,0.3495122453179666
C00529,35,23,12,491.6,307.6,0.3428571428571428,0.6571428571428571,184.00000000000009,0.6257119609438567,Medium Risk,0.349143322096943
C00775,35,23,12,544.9,341.2,0.3428571428571428,0.6571428571428571,203.7,0.626169939438429,Medium Risk,0.3490517263980285
C00539,38,25,13,551.0,344.9,0.3421052631578947,0.6578947368421053,206.1,0.6259528130671506,Medium Risk,0.3484936479128856
C00248,40,26,14,574.4,379.1,0.35,0.65,195.29999999999995,0.6599930362116992,Medium Risk,0.3480013927576601
C00873,33,22,11,440.3,262.1,0.3333333333333333,0.6666666666666666,178.2,0.5952759482171247,Medium Risk,0.3476114770232417
C00602,47,31,16,630.8,394.0,0.3404255319148936,0.6595744680851063,236.79999999999995,0.6246036778693723,Medium Risk,0.3474196899580404
C00163,44,29,15,575.5,361.4,0.3409090909090909,0.6590909090909091,214.1,0.6279756733275412,Medium Risk,0.3471321380617644
C00834,50,33,17,710.7,445.5,0.34,0.66,265.20000000000005,0.6268467707893626,Medium Risk,0.3466306458421275
C00584,42,27,15,590.2,411.7,0.3571428571428571,0.6428571428571429,178.50000000000006,0.6975601491019993,Medium Risk,0.3462022558938858
C00321,44,29,15,554.3,352.1,0.3409090909090909,0.6590909090909091,202.19999999999996,0.6352155872271334,Medium Risk,0.345684155281846
C00884,39,26,13,531.0,321.5,0.3333333333333333,0.6666666666666666,209.5,0.6054613935969868,Medium Risk,0.3455743879472693
C00667,40,26,14,544.2,367.6,0.35,0.65,176.60000000000002,0.6754869533259831,Medium Risk,0.3449026093348034
C00372,44,29,15,624.4,400.3,0.3409090909090909,0.6590909090909091,224.1,0.6410954516335683,Medium Risk,0.344508182400559
C00060,57,38,19,805.5,495.4,0.3333333333333333,0.6666666666666666,310.1,0.6150217256362508,Medium Risk,0.3436623215394165
C00856,41,27,14,591.0,382.8,0.3414634146341463,0.6585365853658537,208.2,0.6477157360406092,Medium Risk,0.3436275844991953
C00364,36,24,12,511.7,321.9,0.3333333333333333,0.6666666666666666,189.8,0.6290795387922611,Medium Risk,0.3408507589082145
C00928,50,33,17,631.7,414.3,0.34,0.66,217.40000000000003,0.6558492955516859,Medium Risk,0.3408301408896628
C01151,26,17,9,372.5,254.2,0.3461538461538461,0.6538461538461539,118.29999999999998,0.6824161073825504,Medium Risk,0.3404398554465668
C00016,53,35,18,679.5,449.1,0.3396226415094339,0.660377358490566,230.4,0.6609271523178808,Medium Risk,0.339512682743971
C01164,51,34,17,737.0,469.5,0.3333333333333333,0.6666666666666666,267.5,0.6370420624151968,Medium Risk,0.3392582541836273
C00997,33,22,11,436.3,278.6,0.3333333333333333,0.6666666666666666,157.7,0.6385514554205822,Medium Risk,0.3389563755825502
C00791,39,26,13,539.3,348.7,0.3333333333333333,0.6666666666666666,190.6,0.6465788985722233,Medium Risk,0.337350886952222
C00734,33,22,11,497.8,322.3,0.3333333333333333,0.6666666666666666,175.5,0.6474487746082764,Medium Risk,0.3371769117450114
C00232,36,24,12,513.3,332.4,0.3333333333333333,0.6666666666666666,180.9,0.6475745178258329,Medium Risk,0.3371517631015001
C00414,36,24,12,529.8,345.6,0.3333333333333333,0.6666666666666666,184.19999999999996,0.6523216308040771,Medium Risk,0.3362023405058512
C00825,36,24,12,532.6,347.5,0.3333333333333333,0.6666666666666666,185.1,0.6524596319939917,Medium Risk,0.3361747402678683
C00537,55,37,18,713.6,449.7,0.3272727272727272,0.6727272727272727,263.90000000000003,0.6301849775784752,Medium Risk,0.3357811863024867
C00036,42,28,14,608.0,400.9,0.3333333333333333,0.6666666666666666,207.1,0.6593749999999999,Medium Risk,0.3347916666666667
C00242,36,24,12,480.8,317.7,0.3333333333333333,0.6666666666666666,163.10000000000002,0.6607737104825291,Medium Risk,0.3345119245701609
C00693,39,26,13,578.9,383.1,0.3333333333333333,0.6666666666666666,195.79999999999995,0.6617723268267405,Medium Risk,0.3343122013013185
C00893,40,27,13,576.1,362.5,0.325,0.675,213.6,0.6292310362784238,Medium Risk,0.3341537927443152
C00876,40,27,13,561.2,353.2,0.325,0.675,208.00000000000009,0.6293656450463292,Medium Risk,0.3341268709907342
C01014,51,34,17,751.6,500.8,0.3333333333333333,0.6666666666666666,250.8,0.6663118680149015,Medium Risk,0.3334042930636863
C00936,39,26,13,565.4,376.9,0.3333333333333333,0.6666666666666666,188.5,0.666607711354793,Medium Risk,0.333345124395708
C00069,36,24,12,498.1,333.1,0.3333333333333333,0.6666666666666666,165.0,0.6687412166231681,Medium Risk,0.332918423342033
C00768,37,25,12,484.9,308.7,0.3243243243243243,0.6756756756756757,176.2,0.6366261084759745,Medium Risk,0.3321342377642646
C00286,46,31,15,627.0,405.9,0.3260869565217391,0.6739130434782609,221.1,0.6473684210526316,Medium Risk,0.331395881006865
C00746,58,39,19,858.9,561.8,0.3275862068965517,0.6724137931034483,297.1,0.6540924438234952,Medium Risk,0.3312504767525423
C00017,46,31,15,663.1,430.1,0.3260869565217391,0.6739130434782609,233.0,0.6486201176293168,Medium Risk,0.3311455416915279
C00686,43,29,14,619.6,401.3,0.3255813953488372,0.6744186046511628,218.3,0.6476759199483537,Medium Risk,0.330929932289399
C00646,40,27,13,565.4,366.0,0.325,0.675,199.4,0.647329324372126,Medium Risk,0.3305341351255748
C00848,40,27,13,595.9,386.7,0.325,0.675,209.2,0.6489343849639201,Medium Risk,0.330213123007216
C01162,30,20,10,403.0,275.0,0.3333333333333333,0.6666666666666666,128.0,0.6823821339950372,Medium Risk,0.3301902398676592
C00473,33,22,11,446.5,306.0,0.3333333333333333,0.6666666666666666,140.5,0.6853303471444568,Medium Risk,0.3296005972377753
C00141,37,25,12,510.2,332.2,0.3243243243243243,0.6756756756756757,178.0,0.6511172089376714,Medium Risk,0.3292360176719252
C00055,40,27,13,530.9,348.8,0.325,0.675,182.1,0.6569975513279337,Medium Risk,0.3286004897344132
C01136,46,31,15,631.1,417.5,0.3260869565217391,0.6739130434782609,213.6,0.6615433370305815,Medium Risk,0.328560897811275
C00865,46,31,15,679.5,450.6,0.3260869565217391,0.6739130434782609,228.9,0.6631346578366446,Medium Risk,0.3282426336500624
C00527,35,24,11,473.7,292.2,0.3142857142857143,0.6857142857142857,181.5,0.616846105129829,Medium Risk,0.3280593504026056
C00896,40,27,13,587.3,389.5,0.325,0.675,197.79999999999995,0.6632044951472842,Medium Risk,0.3273591009705431
C00385,37,25,12,496.4,328.3,0.3243243243243243,0.6756756756756757,168.10000000000002,0.661361804995971,Medium Risk,0.3271870984602653
C00614,40,27,13,590.3,398.2,0.325,0.675,192.1,0.6745722513975945,Medium Risk,0.3250855497204811
C00531,43,29,14,562.0,384.9,0.3255813953488372,0.6744186046511628,177.10000000000002,0.6848754448398576,Medium Risk,0.3234900273110982
C00793,48,33,15,667.2,422.3,0.3125,0.6875,244.90000000000003,0.6329436450839329,Medium Risk,0.3234112709832134
C00706,40,27,13,530.1,363.6,0.325,0.675,166.5,0.6859083191850595,Medium Risk,0.3228183361629881
C01005,35,24,11,497.3,325.2,0.3142857142857143,0.6857142857142857,172.10000000000002,0.6539312286346269,Medium Risk,0.3206423257016461
C00223,44,30,14,587.2,395.4,0.3181818181818182,0.6818181818181818,191.80000000000007,0.6733651226158037,Medium Risk,0.3198724300222938
C00792,45,31,14,595.9,385.3,0.3111111111111111,0.6888888888888889,210.6,0.6465849974827992,Medium Risk,0.319571889392329
C00826,28,19,9,372.8,257.2,0.3214285714285714,0.6785714285714286,115.60000000000002,0.6899141630901287,Medium Risk,0.3191600245248314
C00959,44,30,14,612.6,415.0,0.3181818181818182,0.6818181818181818,197.6,0.6774404178909565,Medium Risk,0.3190573709672633
C00751,38,26,12,548.6,368.2,0.3157894736842105,0.6842105263157895,180.40000000000003,0.6711629602624862,Medium Risk,0.3183989868948711
C00289,35,24,11,465.7,311.6,0.3142857142857143,0.6857142857142857,154.09999999999997,0.6691002791496672,Medium Risk,0.317608515598638
C01011,35,24,11,462.1,309.6,0.3142857142857143,0.6857142857142857,152.5,0.6699848517636875,Medium Risk,0.3174316010758339
C00391,41,28,13,554.7,377.9,0.3170731707317073,0.6829268292682927,176.80000000000007,0.6812691544979267,Medium Risk,0.3174047056857805
C00059,48,33,15,674.1,450.4,0.3125,0.6875,223.70000000000005,0.6681501260940512,Medium Risk,0.3163699747811898
C00037,39,27,12,553.7,360.0,0.3076923076923077,0.6923076923076923,193.70000000000005,0.6501715730540003,Medium Risk,0.3161195315430461
C00173,45,31,14,620.2,411.8,0.3111111111111111,0.6888888888888889,208.40000000000003,0.6639793614962914,Medium Risk,0.3160930165896306
C00515,43,30,13,643.8,408.4,0.3023255813953488,0.6976744186046512,235.4,0.634358496427462,Medium Risk,0.3149887658307866
C00804,32,22,10,466.2,314.9,0.3125,0.6875,151.3,0.6754611754611755,Medium Risk,0.3149077649077649
C00716,42,29,13,605.9,402.2,0.3095238095238095,0.6904761904761905,203.7,0.6638059085657699,Medium Risk,0.3148578659058936
C00915,31,21,10,464.8,334.3,0.3225806451612903,0.6774193548387096,130.5,0.7192340791738382,Medium Risk,0.3142177002942646
C00164,36,25,11,494.5,323.1,0.3055555555555556,0.6944444444444444,171.39999999999998,0.6533872598584429,Medium Risk,0.3137669924727558
C00661,42,29,13,598.6,400.9,0.3095238095238095,0.6904761904761905,197.70000000000005,0.669729368526562,Medium Risk,0.3136731739137352
C00839,43,30,13,589.2,383.6,0.3023255813953488,0.6976744186046512,205.60000000000008,0.6510522742701967,Medium Risk,0.3116500102622397
C00574,46,32,14,652.1,436.6,0.3043478260869565,0.6956521739130435,215.5,0.6695292133108419,Medium Risk,0.3095724182073968
C00493,43,30,13,593.5,393.5,0.3023255813953488,0.6976744186046512,200.0,0.6630160067396799,Medium Risk,0.3092572637683431
C01046,36,25,11,521.7,353.0,0.3055555555555556,0.6944444444444444,168.70000000000005,0.6766340808894,Medium Risk,0.3091176282665644
C00484,53,37,16,765.5,507.4,0.3018867924528302,0.6981132075471698,258.1,0.6628347485303723,Medium Risk,0.3089424842561897
C00701,46,32,14,628.9,425.2,0.3043478260869565,0.6956521739130435,203.7,0.6761011289553188,Medium Risk,0.3082580350785014
C00234,33,23,10,410.7,275.6,0.303030303030303,0.696969696969697,135.09999999999997,0.6710494278061846,Medium Risk,0.3082143568630055
C00756,46,32,14,655.6,443.6,0.3043478260869565,0.6956521739130435,212.0,0.6766320927394753,Medium Risk,0.3081518423216701
C00159,45,31,14,644.5,453.8,0.3111111111111111,0.6888888888888889,190.7,0.7041117145073701,Medium Risk,0.3080665459874149
C00755,42,29,13,573.2,400.9,0.3095238095238095,0.6904761904761905,172.30000000000007,0.6994068387997208,Medium Risk,0.3077376798591035
C00643,33,23,10,468.9,316.3,0.303030303030303,0.696969696969697,152.59999999999997,0.6745574749413522,Medium Risk,0.307512747435972
C00974,40,28,12,552.7,366.6,0.3,0.7,186.1,0.6632893070381762,Medium Risk,0.3073421385923647
C00288,40,28,12,537.8,359.2,0.3,0.7,178.59999999999997,0.6679062848642618,Medium Risk,0.3064187430271476
C00692,46,32,14,608.7,417.7,0.3043478260869565,0.6956521739130435,191.00000000000009,0.6862165270248068,Medium Risk,0.3062349554646039
